addressLine1,city,zipCode,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,ownerOccupied,latest_assessment_value,has_cooling,has_garage,has_pool,unit_count,floor_count,exterior_type,roof_type,latest_property_tax,target_price,property_age,price_per_sqft,lot_to_building_ratio,bed_bath_ratio
9375 Sw 40th Ter,Miami,33165,25.73223,-80.347106,Condo,1.0,1.0,627.0,7500.0,1968.0,False,160889.0,False,False,False,1,1.0,Concrete Block,Other,2255.0,160889.0,57.0,256.6012759170654,11.961722488038278,1.0
9760 Sw 15th St,Miami,33174,25.755364,-80.353709,Single Family,3.0,2.0,1532.0,9375.0,1960.0,False,555959.0,False,True,True,1,1.0,Concrete Block,Other,9183.0,555959.0,65.0,362.8975195822454,6.119451697127937,1.5
401 Nw 34th St,Miami,33127,25.808562,-80.202434,Single Family,2.0,1.0,783.0,3575.0,1961.0,False,501417.0,False,False,False,1,1.0,Concrete Block,Other,10425.0,501417.0,64.0,640.3793103448276,4.565772669220945,2.0
600 Ne 27th St,Miami,33137,25.802619,-80.186895,Condo,3.0,2.5,1547.0,7500.0,2015.0,False,672540.0,False,False,False,1,1.0,Concrete Block,Other,11332.0,672540.0,10.0,434.7382029734971,4.848093083387201,1.2
1200 Brickell Bay Dr,Miami,33131,25.761804,-80.190589,Condo,1.0,1.0,825.0,7500.0,2005.0,False,196641.0,False,False,False,1,1.0,Concrete Block,Other,4290.0,196641.0,20.0,238.35272727272726,9.090909090909092,1.0
744 Ne 193rd Ter,Miami,33179,25.952744,-80.185886,Single Family,4.0,2.5,2318.0,3988.0,2013.0,True,620900.0,False,False,False,1,2.0,Stucco,Other,10328.0,620900.0,12.0,267.8602243313201,1.7204486626402071,1.6
13256 Sw 43rd Ln,Miami,33175,25.727162,-80.40898,Single Family,4.0,2.0,2354.0,8200.0,1979.0,True,239397.0,False,True,True,1,1.0,Concrete Block,Other,4072.0,239397.0,46.0,101.69796091758708,3.4834324553950724,2.0
7515 Sw 99th Ave,Miami,33173,25.698504,-80.353909,Single Family,4.0,2.0,1539.0,9240.0,1960.0,False,512204.0,False,False,False,1,1.0,Concrete Block,Other,9420.0,512204.0,65.0,332.816114359974,6.003898635477583,2.0
243 Sw 26th Rd,Miami,33129,25.754945,-80.207395,Single Family,3.0,2.0,2298.0,7452.0,1939.0,True,702196.0,False,False,False,1,1.0,Concrete Block,Other,13991.0,702196.0,86.0,305.56832027850305,3.2428198433420365,1.5
1050 Brickell Ave,Miami,33131,25.763279,-80.192195,Condo,1.0,1.0,731.0,7500.0,2008.0,True,261527.0,False,False,False,1,1.0,Concrete Block,Other,5514.0,261527.0,17.0,357.76607387140905,10.259917920656635,1.0
3900 Sw 84th Ave,Miami,33155,25.733899,-80.331878,Multi-Family,10.0,8.0,5096.0,8821.0,1987.0,False,890181.0,True,False,False,4,2.0,Concrete Block / Stucco,Tile,14265.0,890181.0,38.0,174.68229984301414,1.7309654631083202,1.25
15045 Sw 108th Ter,Miami,33196,25.665928,-80.439056,Single Family,4.0,2.0,2255.0,4140.0,1989.0,False,475664.0,False,True,False,1,2.0,Stucco,Other,8277.0,475664.0,36.0,210.93747228381375,1.835920177383592,2.0
10415 Sw 143rd Ct,Miami,33186,25.670065,-80.426479,Single Family,4.0,2.0,2058.0,9013.0,1980.0,False,559832.0,False,True,False,1,1.0,Concrete Block,Other,8913.0,559832.0,45.0,272.02721088435374,4.3794946550048595,2.0
10706 Sw 123rd Pl,Miami,33186,25.666642,-80.39475,Single Family,3.0,2.0,1104.0,4692.0,1977.0,False,347215.0,False,False,False,1,1.0,Concrete Block,Other,5893.0,347215.0,48.0,314.5063405797101,4.25,1.5
900 Biscayne Blvd,Miami,33132,25.783234,-80.189976,Condo,1.0,2.0,1031.0,7500.0,2008.0,False,530720.0,False,False,False,1,1.0,Concrete Block,Other,8359.0,530720.0,17.0,514.7623666343356,7.274490785645005,0.5
18208 Sw 154th Ct,Miami,33187,25.597409,-80.442951,Single Family,3.0,3.5,2008.0,6000.0,1999.0,True,276555.0,False,True,False,1,2.0,Concrete Block,Other,4760.0,276555.0,26.0,137.726593625498,2.9880478087649402,0.8571428571428571
68 Se 6th St,Miami,33131,25.768081,-80.192681,Condo,2.0,2.5,1265.0,7500.0,2016.0,True,596247.0,False,False,False,1,1.0,Concrete Block,Other,12947.0,596247.0,9.0,471.3415019762846,5.928853754940712,0.8
1610 Nw 132nd St,Miami,33167,25.894708,-80.225657,Single Family,3.0,1.0,1270.0,9600.0,1953.0,False,185475.0,False,True,False,1,1.0,Concrete Block,Other,3108.0,185475.0,72.0,146.04330708661416,7.559055118110236,3.0
333 Ne 24th St,Miami,33137,25.800205,-80.188826,Condo,1.0,1.0,692.0,7500.0,2008.0,False,322677.0,False,False,False,1,1.0,Concrete Block,Other,6425.0,322677.0,17.0,466.29624277456645,10.83815028901734,1.0
888 Biscayne Blvd,Miami,33132,25.782485,-80.190059,Condo,2.0,2.0,1318.0,7500.0,2008.0,False,770148.0,False,False,False,1,1.0,Concrete Block,Other,13864.0,770148.0,17.0,584.3308042488619,5.690440060698028,1.0
12865 Sw 116th St,Miami,33186,25.661099,-80.403856,Single Family,3.0,2.0,1620.0,7500.0,1979.0,False,494471.0,False,True,False,1,1.0,Concrete Block,Other,7968.0,494471.0,46.0,305.229012345679,4.62962962962963,1.5
8395 Sw 73rd Ave,Miami,33143,25.693025,-80.311155,Condo,2.0,2.0,1296.0,7500.0,2008.0,False,391355.0,False,False,False,1,1.0,Concrete Block,Other,6095.0,391355.0,17.0,301.97145061728395,5.787037037037037,1.0
4526 Sw 143rd Ct W,Miami,33175,25.724054,-80.427906,Single Family,3.0,2.0,1636.0,3600.0,1982.0,False,370000.0,False,False,False,1,1.0,Concrete Block,Other,6528.0,370000.0,43.0,226.16136919315403,2.2004889975550124,1.5
10245 Sw 135th St,Miami,33176,25.644234,-80.359682,Single Family,3.0,2.0,1821.0,16742.0,1973.0,False,735831.0,False,True,False,1,1.0,Concrete Block,Other,11520.0,735831.0,52.0,404.08072487644154,9.193849533223503,1.5
763 Ne 75th St,Miami,33138,25.844435,-80.180606,Single Family,2.0,1.0,1430.0,6250.0,1938.0,False,791741.0,False,False,False,1,1.0,Concrete Block,Other,13635.0,791741.0,87.0,553.6650349650349,4.370629370629371,2.0
9239 Sw 170th Ct,Miami,33196,25.681184,-80.469931,Single Family,3.0,2.5,1740.0,1840.0,2013.0,False,380000.0,False,False,False,1,2.0,Concrete Block,Other,10466.0,380000.0,12.0,218.39080459770116,1.0574712643678161,1.2
6225 Sw 26th St,Miami,33155,25.746601,-80.295934,Single Family,2.0,1.0,1160.0,9000.0,1951.0,False,611113.0,False,False,False,1,1.0,Concrete Block,Other,9954.0,611113.0,74.0,526.821551724138,7.758620689655173,2.0
1880 Coral Gate Dr,Miami,33145,25.753431,-80.25115,Single Family,3.0,2.0,1522.0,6600.0,1950.0,True,205447.0,False,True,False,1,1.0,Concrete Block,Other,3659.0,205447.0,75.0,134.984888304862,4.336399474375821,1.5
4716 Sw 67th Ave,Miami,33155,25.726913,-80.306656,Condo,3.0,1.5,1234.0,7500.0,1975.0,False,374414.0,False,False,False,1,1.0,Concrete Block,Other,5998.0,374414.0,50.0,303.41491085899514,6.077795786061588,2.0
9021 Sw 94th St,Miami,33176,25.683141,-80.34199,Condo,2.0,2.0,1145.0,7500.0,2003.0,False,374118.0,False,False,False,1,1.0,Concrete Block,Other,6183.0,374118.0,22.0,326.7406113537118,6.550218340611353,1.0
33 Sw 113th Ave,Miami,33174,25.767637,-80.378406,Condo,2.0,2.0,1040.0,7500.0,1983.0,False,218404.0,False,False,False,1,1.0,Concrete Block,Other,4633.0,218404.0,42.0,210.00384615384615,7.211538461538462,1.0
14860 Sw 148th Street Cir,Miami,33196,25.628931,-80.432778,Single Family,4.0,3.0,2239.0,14110.0,1980.0,True,611541.0,False,True,True,1,1.0,Stucco,Other,9893.0,611541.0,45.0,273.1313086199196,6.301920500223314,1.3333333333333333
11341 Sw 70th Ter,Miami,33173,25.702402,-80.377411,Single Family,2.0,2.0,1378.0,1800.0,1972.0,False,351000.0,False,False,False,1,2.0,Concrete Block,Other,6011.0,351000.0,53.0,254.71698113207546,1.3062409288824384,1.0
2647 Nw 25th Ave,Miami,33142,25.800725,-80.23788,Condo,2.0,2.0,780.0,7500.0,2007.0,False,181870.0,False,False,False,1,1.0,Concrete Block,Other,2278.0,181870.0,18.0,233.16666666666666,9.615384615384615,1.0
2441 Nw 13th St,Miami,33125,25.786198,-80.236949,Condo,2.0,1.0,619.0,7500.0,1965.0,False,143900.0,False,False,False,1,1.0,Concrete Block,Other,2027.0,143900.0,60.0,232.47172859450728,12.116316639741518,2.0
31 Se 5th St,Miami,33131,25.769585,-80.191981,Condo,3.0,2.5,1513.0,7500.0,2006.0,False,444130.0,False,False,False,1,1.0,Concrete Block,Other,9667.0,444130.0,19.0,293.5426305353602,4.957038995373431,1.2
16117 Sw 139th Ave,Miami,33177,25.61804,-80.418428,Single Family,3.0,2.0,1252.0,2975.0,1996.0,False,360830.0,False,False,False,1,1.0,Stucco,Other,6077.0,360830.0,29.0,288.202875399361,2.376198083067093,1.5
2666 Tigertail Ave,Miami,33133,25.732015,-80.236529,Condo,1.0,2.0,943.0,7500.0,1973.0,False,371900.0,False,False,False,1,1.0,Concrete Block,Other,7358.0,371900.0,52.0,394.3796394485684,7.953340402969247,0.5
10860 Ne 2nd Ct,Miami,33161,25.875727,-80.193332,Single Family,2.0,1.0,1588.0,5750.0,1949.0,False,417085.0,False,False,False,1,1.0,Concrete Block,Other,6669.0,417085.0,76.0,262.64798488664985,3.6209068010075565,2.0
10511 Sw 66th Ter,Miami,33173,25.706333,-80.364676,Single Family,3.0,2.0,1596.0,4612.0,1987.0,False,390606.0,False,True,False,1,1.0,Concrete Block,Other,6923.0,390606.0,38.0,244.7406015037594,2.889724310776942,1.5
4349 Sw 153rd Ct,Miami,33185,25.725295,-80.442331,Single Family,3.0,2.0,1595.0,10153.0,1989.0,False,528931.0,False,False,False,1,1.0,Stucco,Other,9125.0,528931.0,36.0,331.6181818181818,6.36551724137931,1.5
31 Se 6th St,Miami,33131,25.76855,-80.191885,Condo,1.0,1.5,710.0,7500.0,2014.0,False,199515.0,False,False,False,1,1.0,Concrete Block,Other,4964.0,199515.0,11.0,281.00704225352115,10.56338028169014,0.6666666666666666
16252 Sw 60th Ter,Miami,33193,25.708761,-80.456479,Single Family,4.0,3.0,1756.0,2523.0,2006.0,False,425001.0,False,False,False,1,2.0,Concrete Block,Other,7816.0,425001.0,19.0,242.02790432801822,1.4367881548974943,1.3333333333333333
6220 Sw 78th St,Miami,33143,25.698265,-80.294028,Single Family,2.0,1.0,936.0,14700.0,1952.0,False,662996.0,False,False,False,1,1.0,Concrete Block,Other,11389.0,662996.0,73.0,708.3290598290598,15.705128205128204,2.0
3501 Sw 11th St,Miami,33135,25.762726,-80.252357,Condo,2.0,1.0,725.0,7500.0,1949.0,False,197900.0,False,False,False,1,1.0,Concrete Block,Other,3527.0,197900.0,76.0,272.9655172413793,10.344827586206897,2.0
7530 Sw 56th Ct,Miami,33143,25.70138,-80.285024,Townhouse,3.0,3.5,2678.0,2178.0,2011.0,True,940000.0,False,False,False,1,2.0,Concrete Block,Other,16546.0,940000.0,14.0,351.008215085885,0.813293502613891,0.8571428571428571
7829 Miller Dr,Miami,33155,25.718099,-80.321715,Condo,2.0,1.0,840.0,7500.0,1971.0,False,177186.0,False,False,False,1,1.0,Concrete Block,Other,3003.0,177186.0,54.0,210.93571428571428,8.928571428571429,2.0
244 Biscayne Blvd,Miami,33132,25.776994,-80.1888,Condo,1.0,1.5,978.0,7500.0,2008.0,True,301815.0,False,False,False,1,1.0,Concrete Block,Other,5940.0,301815.0,17.0,308.6042944785276,7.668711656441718,0.6666666666666666
900 Biscayne Blvd,Miami,33132,25.783234,-80.189976,Condo,3.0,3.5,2145.0,7500.0,2008.0,False,1478200.0,False,False,False,1,1.0,Concrete Block,Other,28536.0,1478200.0,17.0,689.1375291375291,3.4965034965034967,0.8571428571428571
2651 Nw 13th St,Miami,33125,25.786301,-80.237113,Condo,2.0,1.0,650.0,7500.0,1961.0,False,163620.0,False,False,False,1,1.0,Concrete Block,Other,2306.0,163620.0,64.0,251.72307692307692,11.538461538461538,2.0
303 Ne 187th St,Miami,33179,25.946913,-80.195089,Condo,1.0,1.0,850.0,7500.0,1969.0,False,85400.0,False,False,False,1,1.0,Concrete Block,Other,1167.0,85400.0,56.0,100.47058823529412,8.823529411764707,1.0
10750 Sw 60th St,Miami,33173,25.711662,-80.368746,Single Family,3.0,2.0,1945.0,12182.0,1973.0,False,638474.0,False,True,False,1,1.0,Concrete Block,Other,10692.0,638474.0,52.0,328.2642673521851,6.263239074550128,1.5
9400 Sw 53rd St,Miami,33165,25.718531,-80.347209,Single Family,3.0,2.0,1359.0,7731.0,1958.0,False,498820.0,False,True,False,1,1.0,Concrete Block,Other,8025.0,498820.0,67.0,367.04930095658574,5.688741721854305,1.5
950 Brickell Bay Dr,Miami,33131,25.76501,-80.190169,Condo,2.0,2.0,986.0,7500.0,2008.0,False,519300.0,False,False,False,1,1.0,Concrete Block,Other,8930.0,519300.0,17.0,526.6734279918865,7.606490872210953,1.0
851 Ne 1st Ave,Miami,33132,25.782888,-80.191905,Condo,1.0,2.0,1173.0,7500.0,2019.0,False,614800.0,False,False,False,1,1.0,Concrete Block,Other,13973.0,614800.0,6.0,524.1261722080136,6.3938618925831205,0.5
13305 Sw 128th Psge,Miami,33186,25.644138,-80.402271,Single Family,3.0,2.5,1564.0,1500.0,2005.0,True,384000.0,False,True,False,1,2.0,Concrete Block,Other,9241.0,384000.0,20.0,245.5242966751918,0.959079283887468,1.2
531 Ne 82nd Ter,Miami,33138,25.851056,-80.185908,Condo,1.0,1.0,608.0,7500.0,1960.0,False,113752.0,False,False,False,1,1.0,Concrete Block,Other,2056.0,113752.0,65.0,187.0921052631579,12.335526315789474,1.0
1600 Ne 1st Ave,Miami,33132,25.791004,-80.192758,Apartment,1.0,1.5,850.0,7500.0,2018.0,False,369000.0,False,False,False,1,1.0,Concrete Block,Other,7551.0,369000.0,7.0,434.11764705882354,8.823529411764707,0.6666666666666666
15860 Sw 138th Pl,Miami,33177,25.620144,-80.417929,Single Family,4.0,2.0,1897.0,5750.0,1990.0,False,495887.0,False,True,False,1,1.0,Stucco,Other,8153.0,495887.0,35.0,261.4059040590406,3.0311017395888245,2.0
4900 Sw 94th Ct,Miami,33165,25.722826,-80.348382,Single Family,2.0,1.0,1333.0,7500.0,1959.0,False,494153.0,False,True,False,1,1.0,Concrete Block,Other,7926.0,494153.0,66.0,370.70742685671416,5.626406601650412,2.0
6550 Sw 75th Ter,Miami,33143,25.700409,-80.300063,Single Family,5.0,5.0,5187.0,16501.0,2007.0,True,1139618.0,False,True,True,1,2.0,Concrete Block,Other,22109.0,1139618.0,18.0,219.70657412762677,3.1812222864854443,1.0
9001 Sw 77th Ave,Miami,33156,25.686286,-80.318323,Condo,1.0,1.0,699.0,7500.0,1971.0,False,148975.0,False,False,False,1,1.0,Concrete Block,Other,2396.0,148975.0,54.0,213.12589413447782,10.729613733905579,1.0
999 Sw 1st Ave,Miami,33130,25.7646,-80.19498,Condo,2.0,2.0,1097.0,7500.0,2015.0,True,494900.0,False,False,False,1,1.0,Concrete Block,Other,9025.0,494900.0,10.0,451.1394712853236,6.836827711941659,1.0
3915 Sw 59th Ave,Miami,33155,25.735144,-80.290388,Single Family,3.0,2.0,1622.0,5250.0,1951.0,False,456648.0,False,False,False,1,1.0,Concrete Block,Other,7919.0,456648.0,74.0,281.5339087546239,3.2367447595561036,1.5
12025 Sw 188th Ter,Miami,33177,25.592564,-80.38761,Single Family,3.0,1.0,1374.0,7725.0,1957.0,False,393690.0,False,True,False,1,1.0,Stucco,Other,6288.0,393690.0,68.0,286.528384279476,5.622270742358078,3.0
3180 Coral Way,Miami,33145,25.749602,-80.24568,Condo,1.0,1.0,810.0,7500.0,2006.0,False,322600.0,False,False,False,1,1.0,Concrete Block,Other,5421.0,322600.0,19.0,398.2716049382716,9.25925925925926,1.0
68 Se 6th St,Miami,33131,25.768081,-80.192681,Condo,2.0,2.5,1384.0,7500.0,2016.0,False,596742.0,False,False,False,1,1.0,Concrete Block,Other,14234.0,596742.0,9.0,431.1719653179191,5.41907514450867,0.8
13508 Ne 20th Ct,Miami,33181,25.900433,-80.156795,Condo,3.0,3.0,1640.0,2280.0,1969.0,False,220000.0,False,False,False,1,2.0,Concrete Block,Other,4293.0,220000.0,56.0,134.14634146341464,1.3902439024390243,1.0
644 Ne 191st St,Miami,33179,25.951283,-80.189105,Single Family,5.0,4.5,2702.0,4400.0,2014.0,False,703466.0,False,False,False,1,2.0,Stucco,Other,11576.0,703466.0,11.0,260.3501110288675,1.6284233900814211,1.1111111111111112
68 Se 6th St,Miami,33131,25.768078,-80.192674,Condo,3.0,4.0,1660.0,7500.0,2016.0,True,908770.0,False,False,False,1,1.0,Concrete Block,Other,19780.0,908770.0,9.0,547.4518072289156,4.518072289156627,0.75
